Zip,Neigh,CSA,MHINC,TotalCOVIDCases
21201,Downtown,Downtown/Seton Hill,57516.7,311.0
21201,Seton Hill,Downtown/Seton Hill,57516.7,311.0
21201,University of Maryland,Downtown/Seton Hill,57516.7,311.0
21201,Downtown West,Inner Harbor/Federal Hill,100932.2,311.0
21201,Federal Hill,Inner Harbor/Federal Hill,100932.2,311.0
21201,Inner Harbor,Inner Harbor/Federal Hill,100932.2,311.0
21201,Otterbein,Inner Harbor/Federal Hill,100932.2,311.0
21201,Ridgely's Delight,Inner Harbor/Federal Hill,100932.2,311.0
21201,Riverside,Inner Harbor/Federal Hill,100932.2,311.0
21201,Sharp-Leadenhall,Inner Harbor/Federal Hill,100932.2,311.0
21201,South Baltimore,Inner Harbor/Federal Hill,100932.2,311.0
21201,Stadium Area,Inner Harbor/Federal Hill,100932.2,311.0
21201,Bolton Hill,Midtown,52477.2,311.0
21201,Charles North,Midtown,52477.2,311.0
21201,Greenmount West,Midtown,52477.2,311.0
21201,Mid-Town Belvedere,Midtown,52477.2,311.0
21201,Mount Vernon,Midtown,52477.2,311.0
21201,Hollins Market,Poppleton/The Terraces/Hollins Market,20365.8,311.0
21201,Poppleton,Poppleton/The Terraces/Hollins Market,20365.8,311.0
21201,Druid Heights,Upton/Druid Heights,21359.0,311.0
21201,Heritage Crossing,Upton/Druid Heights,21359.0,311.0
21201,Madison Park,Upton/Druid Heights,21359.0,311.0
21201,Upton,Upton/Druid Heights,21359.0,311.0
21201,Barre Circle,Washington Village/Pigtown,48273.2,311.0
21201,Caroll-Camden Industrial Area,Washington Village/Pigtown,48273.2,311.0
21201,Carroll Park,Washington Village/Pigtown,48273.2,311.0
21201,Washington Village/Pigtown,Washington Village/Pigtown,48273.2,311.0
21202,Greenmount Cemetery,Greenmount East,27320.2,611.0
21202,Johnston Square,Greenmount East,27320.2,611.0
21202,Oliver,Greenmount East,27320.2,611.0
21202,Jonestown,Harbor East/Little Italy,44087.0,611.0
21202,Little Italy,Harbor East/Little Italy,44087.0,611.0
21202,Perkins Homes,Harbor East/Little Italy,44087.0,611.0
21202,Washington Hill,Harbor East/Little Italy,44087.0,611.0
21202,Downtown West,Inner Harbor/Federal Hill,100932.2,611.0
21202,Federal Hill,Inner Harbor/Federal Hill,100932.2,611.0
21202,Inner Harbor,Inner Harbor/Federal Hill,100932.2,611.0
21202,Otterbein,Inner Harbor/Federal Hill,100932.2,611.0
21202,Ridgely's Delight,Inner Harbor/Federal Hill,100932.2,611.0
21202,Riverside,Inner Harbor/Federal Hill,100932.2,611.0
21202,Sharp-Leadenhall,Inner Harbor/Federal Hill,100932.2,611.0
21202,South Baltimore,Inner Harbor/Federal Hill,100932.2,611.0
21202,Stadium Area,Inner Harbor/Federal Hill,100932.2,611.0
21202,Bolton Hill,Midtown,52477.2,611.0
21202,Charles North,Midtown,52477.2,611.0
21202,Greenmount West,Midtown,52477.2,611.0
21202,Mid-Town Belvedere,Midtown,52477.2,611.0
21202,Mount Vernon,Midtown,52477.2,611.0
21202,CARE,Oldtown/Middle East,19374.1,611.0
21202,Dunbar-Broadway,Oldtown/Middle East,19374.1,611.0
21202,Gay Street,Oldtown/Middle East,19374.1,611.0
21202,Middle East,Oldtown/Middle East,19374.1,611.0
21202,Oldtown,Oldtown/Middle East,19374.1,611.0
21202,Penn-Fallsway,Oldtown/Middle East,19374.1,611.0
21202,Pleasant View Gardens,Oldtown/Middle East,19374.1,611.0
21202,Pleasant View Gardens,Orangeville/E. Highlandtown,19374.1,611.0
21205,Armistead Gardens,Claremont/Armistead,34885.4,533.0
21205,Orchard Ridge,Claremont/Armistead,34885.4,533.0
21205,Greenmount Cemetery,Greenmount East,27320.2,533.0
21205,Johnston Square,Greenmount East,27320.2,533.0
21205,Oliver,Greenmount East,27320.2,533.0
21205,Madison-Eastend,Madison/East End,33528.7,533.0
21205,McElderry Park,Madison/East End,33528.7,533.0
21205,Milton-Montford,Madison/East End,33528.7,533.0
21205,CARE,Oldtown/Middle East,19374.1,533.0
21205,Dunbar-Broadway,Oldtown/Middle East,19374.1,533.0
21205,Gay Street,Oldtown/Middle East,19374.1,533.0
21205,Middle East,Oldtown/Middle East,19374.1,533.0
21205,Oldtown,Oldtown/Middle East,19374.1,533.0
21205,Penn-Fallsway,Oldtown/Middle East,19374.1,533.0
21205,Pleasant View Gardens,Oldtown/Middle East,19374.1,533.0
21206,Cedmont,Cedonia/Frankford,44159.5,1424.0
21206,Cedonia,Cedonia/Frankford,44159.5,1424.0
21206,Frankford,Cedonia/Frankford,44159.5,1424.0
21206,Parkside,Cedonia/Frankford,44159.5,1424.0
21206,Armistead Gardens,Claremont/Armistead,34885.4,1424.0
21206,Orchard Ridge,Claremont/Armistead,34885.4,1424.0
21206,Glenham-Belford,Hamilton,71690.9,1424.0
21206,Rosemont East,Hamilton,71690.9,1424.0
21206,Westfield,Hamilton,71690.9,1424.0
21206,Harford-Echodale/Perring Parkway,Harford/Echodale,56655.8,1424.0
21206,North Harford Road,Harford/Echodale,56655.8,1424.0
21206,Overlea,Harford/Echodale,56655.8,1424.0
21206,Taylor Heights,Harford/Echodale,56655.8,1424.0
21206,Arcadia,Lauraville,69536.6,1424.0
21206,Belair-Parkside,Lauraville,69536.6,1424.0
21206,Beverly Hills,Lauraville,69536.6,1424.0
21206,Lauraville,Lauraville,69536.6,1424.0
21206,Moravia-Walther,Lauraville,69536.6,1424.0
21206,Morgan Park,Lauraville,69536.6,1424.0
21206,Waltherson,Lauraville,69536.6,1424.0
21207,Dickeyville,Dickeyville/Franklintown,37847.5,1279.0
21207,Franklintown,Dickeyville/Franklintown,37847.5,1279.0
21207,Purnell,Dickeyville/Franklintown,37847.5,1279.0
21207,Wakefield,Dickeyville/Franklintown,37847.5,1279.0
21207,Concerned Citizens Of Forest Park,Forest Park/Walbrook,44764.3,1279.0
21207,Fairmont,Forest Park/Walbrook,44764.3,1279.0
21207,Forest Park,Forest Park/Walbrook,44764.3,1279.0
21207,Garwyn Oaks,Forest Park/Walbrook,44764.3,1279.0
21207,Mount Holly,Forest Park/Walbrook,44764.3,1279.0
21207,West Forest Park,Forest Park/Walbrook,44764.3,1279.0
21207,Windsor Hills,Forest Park/Walbrook,44764.3,1279.0
21207,Highlandtown,Howard Park/W. Arlington,88324.0,1279.0
21208,South Clifton Park,Cross Country/Cheswolde,31291.1,876.0
21208,Windsor Hills,Glen-Fallstaff,42439.1,876.0
21209,South Clifton Park,Cross Country/Cheswolde,31291.1,339.0
21209,Ashburton,Dorchester/Ashburton,45497.3,339.0
21209,Callaway-Garrison,Dorchester/Ashburton,45497.3,339.0
21209,Central Forest Park,Dorchester/Ashburton,45497.3,339.0
21209,Dolfield,Dorchester/Ashburton,45497.3,339.0
21209,Dorchester,Dorchester/Ashburton,45497.3,339.0
21209,East Arlington,Dorchester/Ashburton,45497.3,339.0
21209,Cross Keys,Greater Roland Park/Poplar Hill,117951.4,339.0
21209,Evergreen,Greater Roland Park/Poplar Hill,117951.4,339.0
21209,Keswick,Greater Roland Park/Poplar Hill,117951.4,339.0
21209,North Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,117951.4,339.0
21209,Roland Park,Greater Roland Park/Poplar Hill,117951.4,339.0
21209,Wyndhurst,Greater Roland Park/Poplar Hill,117951.4,339.0
21209,Hampden,Medfield/Hampden/Woodberry/Remington,68526.0,339.0
21209,Hoes Heights,Medfield/Hampden/Woodberry/Remington,68526.0,339.0
21209,Jones Falls Area,Medfield/Hampden/Woodberry/Remington,68526.0,339.0
21209,Medfield,Medfield/Hampden/Woodberry/Remington,68526.0,339.0
21209,Remington,Medfield/Hampden/Woodberry/Remington,68526.0,339.0
21209,Woodberry,Medfield/Hampden/Woodberry/Remington,68526.0,339.0
21209,Wyman Park,Medfield/Hampden/Woodberry/Remington,68526.0,339.0
21209,Coldspring,Mt. Washington/Coldspring,84848.1,339.0
21209,Mt. Washington,Mt. Washington/Coldspring,84848.1,339.0
21209,Sabina-Mattfeldt,Mt. Washington/Coldspring,84848.1,339.0
21209,Arlington,Pimlico/Arlington/Hilltop,32189.6,339.0
21209,Central Park Heights,Pimlico/Arlington/Hilltop,32189.6,339.0
21209,Cylburn,Pimlico/Arlington/Hilltop,32189.6,339.0
21209,Langston Hughes,Pimlico/Arlington/Hilltop,32189.6,339.0
21209,Levindale,Pimlico/Arlington/Hilltop,32189.6,339.0
21209,Pimlico Good Neighbors,Pimlico/Arlington/Hilltop,32189.6,339.0
21210,Cross Keys,Greater Roland Park/Poplar Hill,117951.4,66.0
21210,Evergreen,Greater Roland Park/Poplar Hill,117951.4,66.0
21210,Keswick,Greater Roland Park/Poplar Hill,117951.4,66.0
21210,North Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,117951.4,66.0
21210,Roland Park,Greater Roland Park/Poplar Hill,117951.4,66.0
21210,Wyndhurst,Greater Roland Park/Poplar Hill,117951.4,66.0
21210,Hampden,Medfield/Hampden/Woodberry/Remington,68526.0,66.0
21210,Hoes Heights,Medfield/Hampden/Woodberry/Remington,68526.0,66.0
21210,Jones Falls Area,Medfield/Hampden/Woodberry/Remington,68526.0,66.0
21210,Medfield,Medfield/Hampden/Woodberry/Remington,68526.0,66.0
21210,Remington,Medfield/Hampden/Woodberry/Remington,68526.0,66.0
21210,Woodberry,Medfield/Hampden/Woodberry/Remington,68526.0,66.0
21210,Wyman Park,Medfield/Hampden/Woodberry/Remington,68526.0,66.0
21210,Sabina-Mattfeldt,N. Baltimore/Guilford/Homeland,84848.1,66.0
21211,Abell,Greater Charles Village/Barclay,42852.5,191.0
21211,Barclay,Greater Charles Village/Barclay,42852.5,191.0
21211,Charles Village,Greater Charles Village/Barclay,42852.5,191.0
21211,Harwood,Greater Charles Village/Barclay,42852.5,191.0
21211,Johns Hopkins Homewood,Greater Charles Village/Barclay,42852.5,191.0
21211,Oakenshawe,Greater Charles Village/Barclay,42852.5,191.0
21211,Old Goucher,Greater Charles Village/Barclay,42852.5,191.0
21211,Hampden,Medfield/Hampden/Woodberry/Remington,68526.0,191.0
21211,Hoes Heights,Medfield/Hampden/Woodberry/Remington,68526.0,191.0
21211,Jones Falls Area,Medfield/Hampden/Woodberry/Remington,68526.0,191.0
21211,Medfield,Medfield/Hampden/Woodberry/Remington,68526.0,191.0
21211,Remington,Medfield/Hampden/Woodberry/Remington,68526.0,191.0
21211,Woodberry,Medfield/Hampden/Woodberry/Remington,68526.0,191.0
21211,Wyman Park,Medfield/Hampden/Woodberry/Remington,68526.0,191.0
21211,Greenspring,Southern Park Heights,24824.1,191.0
21211,Lucille Park,Southern Park Heights,24824.1,191.0
21211,Park Circle,Southern Park Heights,24824.1,191.0
21211,Parklane,Southern Park Heights,24824.1,191.0
21211,Towanda-Grantley,Southern Park Heights,24824.1,191.0
21212,Belvedere,Chinquapin Park/Belvedere,55713.7,559.0
21212,Cameron Village,Chinquapin Park/Belvedere,55713.7,559.0
21212,Chinquapin Park,Chinquapin Park/Belvedere,55713.7,559.0
21212,Evesham Park,Chinquapin Park/Belvedere,55713.7,559.0
21212,Lake Walker,Chinquapin Park/Belvedere,55713.7,559.0
21212,Mid-Govans,Chinquapin Park/Belvedere,55713.7,559.0
21212,Kenilworth Park,Greater Govans,42666.8,559.0
21212,Pen Lucy,Greater Govans,42666.8,559.0
21212,Richnor Springs,Greater Govans,42666.8,559.0
21212,Wilson Park,Greater Govans,42666.8,559.0
21212,Winston-Govans,Greater Govans,42666.8,559.0
21212,Woodbourne-McCabe,Greater Govans,42666.8,559.0
21212,Wrenlane,Greater Govans,42666.8,559.0
21212,Sabina-Mattfeldt,N. Baltimore/Guilford/Homeland,84848.1,559.0
21213,Belair-Edison,Belair-Edison,42633.6,800.0
21213,Clifton Park,Belair-Edison,42633.6,800.0
21213,Four By Four,Belair-Edison,42633.6,800.0
21213,Herring Run Park,Belair-Edison,42633.6,800.0
21213,Mayfield,Belair-Edison,42633.6,800.0
21213,Armistead Gardens,Claremont/Armistead,34885.4,800.0
21213,Orchard Ridge,Claremont/Armistead,34885.4,800.0
21213,Berea,Clifton-Berea,31291.1,800.0
21213,Biddle Street,Clifton-Berea,31291.1,800.0
21213,Broadway East,Clifton-Berea,31291.1,800.0
21213,Darley Park,Clifton-Berea,31291.1,800.0
21213,South Clifton Park,Clifton-Berea,31291.1,800.0
21213,Greenmount Cemetery,Greenmount East,27320.2,800.0
21213,Johnston Square,Greenmount East,27320.2,800.0
21213,Oliver,Greenmount East,27320.2,800.0
21214,Glenham-Belford,Hamilton,71690.9,406.0
21214,Rosemont East,Hamilton,71690.9,406.0
21214,Westfield,Hamilton,71690.9,406.0
21214,Harford-Echodale/Perring Parkway,Harford/Echodale,56655.8,406.0
21214,North Harford Road,Harford/Echodale,56655.8,406.0
21214,Overlea,Harford/Echodale,56655.8,406.0
21214,Taylor Heights,Harford/Echodale,56655.8,406.0
21214,Brewers Hill,Highlandtown,88324.0,406.0
21214,Highlandtown,Highlandtown,88324.0,406.0
21214,Arcadia,Lauraville,69536.6,406.0
21214,Belair-Parkside,Lauraville,69536.6,406.0
21214,Beverly Hills,Lauraville,69536.6,406.0
21214,Lauraville,Lauraville,69536.6,406.0
21214,Moravia-Walther,Lauraville,69536.6,406.0
21214,Morgan Park,Lauraville,69536.6,406.0
21214,Waltherson,Lauraville,69536.6,406.0
21214,Hillen,Northwood,56197.2,406.0
21214,Montebello,Northwood,56197.2,406.0
21214,Morgan State University,Northwood,56197.2,406.0
21214,New Northwood,Northwood,56197.2,406.0
21214,Original Northwood,Northwood,56197.2,406.0
21214,Perring Loch,Northwood,56197.2,406.0
21214,Stonewood-Pentwood-Winston,Northwood,56197.2,406.0
21215,South Clifton Park,Cross Country/Cheswolde,31291.1,1521.0
21215,Cheswolde,Cross-Country/Cheswolde,55673.6,1521.0
21215,Cross Country,Cross-Country/Cheswolde,55673.6,1521.0
21215,Ashburton,Dorchester/Ashburton,45497.3,1521.0
21215,Callaway-Garrison,Dorchester/Ashburton,45497.3,1521.0
21215,Central Forest Park,Dorchester/Ashburton,45497.3,1521.0
21215,Dolfield,Dorchester/Ashburton,45497.3,1521.0
21215,Dorchester,Dorchester/Ashburton,45497.3,1521.0
21215,East Arlington,Dorchester/Ashburton,45497.3,1521.0
21215,Windsor Hills,Glen-Fallstaff,42439.1,1521.0
21215,Fallstaff,Glen-Falstaff,42439.1,1521.0
21215,Glen,Glen-Falstaff,42439.1,1521.0
21215,Reisterstown Station,Glen-Falstaff,42439.1,1521.0
21215,Woodmere,Glen-Falstaff,42439.1,1521.0
21215,Burleith-Leighton,Greater Mondawmin,36968.8,1521.0
21215,Hanlon-Longwood,Greater Mondawmin,36968.8,1521.0
21215,Liberty Square,Greater Mondawmin,36968.8,1521.0
21215,Mondawmin,Greater Mondawmin,36968.8,1521.0
21215,Panway/Braddish Avenue,Greater Mondawmin,36968.8,1521.0
21215,Walbrook,Greater Mondawmin,36968.8,1521.0
21215,Highlandtown,Howard Park/W. Arlington,88324.0,1521.0
21215,Forest Park Golf Course,Howard Park/West Arlington,54999.5,1521.0
21215,Grove Park,Howard Park/West Arlington,54999.5,1521.0
21215,Howard Park,Howard Park/West Arlington,54999.5,1521.0
21215,Seton Business Park,Howard Park/West Arlington,54999.5,1521.0
21215,West Arlington,Howard Park/West Arlington,54999.5,1521.0
21215,Druid Hill Park,Penn North/Reservoir Hill,35011.5,1521.0
21215,Parkview/Woodbrook,Penn North/Reservoir Hill,35011.5,1521.0
