ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location,Zip Codes,2010 Census Neighborhoods,2010 Census Wards Precincts
2134 042 082508,2134,043,2804 WILKENS AVE,08/25/2008,Gwynns Falls,Southwestern,10,"(39.27671336, -76.6636223)",27632,100,282
0185 044 081212,0185,044,1112 W FAYETTE ST,08/12/2012,Poppleton,Western,9,"(39.29002216, -76.63646112)",27632,201,8
3268 031 020117,3268,031,2010 ELGIN LANE,02/01/2017,Mondawmin,Western,7,"(39.31451131, -76.64996926)",27301,157,39
4097 025 041018,4097,025,1129 GORSUCH AVE,04/10/2018,Better Waverly,Northern,14,"(39.32508261, -76.60165307)",27307,16,180
5325B049 093018,5325B,049,0,09/30/2018,Loch Raven,Notheastern,4,"(39.35815675, -76.58150532)",28564,64,259
4164 008 080907,4164,008,1414 DARLEY AVE,08/09/2007,Darley Park,Eastern,14,"(39.31513884, -76.59640859)",26956,63,198
0161 029 011410,0161,029,2002 W LEXINGTON ST,01/14/2010,Penrose/Fayette Street Outreach,Western,9,"(39.29071422, -76.64927592)",27632,197,80
2127 029 120917,2127,029,501 S CATON AVE,12/09/2017,Gwynns Falls,Southwestern,10,"(39.27871665, -76.67124642)",27950,100,282
0058 072 042418,0058,072,1009 APPLETON ST,04/24/2018,Midtown-Edmondson,Western,9,"(39.30030122, -76.6482202)",27301,153,86
4114I024 031513,4114I,024,2556 GARRETT AVE,03/15/2013,Coldstream Homestead Montebello,Notheastern,14,"(39.31973137, -76.59818978)",27307,54,159
7492C039 062416,7492C,039,2582 MARBOURNE AVE,06/24/2016,Lakeland,Southern,10,"(39.25292784, -76.64733905)",27953,134,162
7441A001 062113,7441A,001,2231 SIDNEY AVE,06/21/2013,Westport,Southern,10,"(39.26330154, -76.63252162)",27953,258,151
0075 025 061619,0075,025,934 N STRICKER ST,06/16/2019,Sandtown-Winchester,Western,9,"(39.29981441, -76.64184953)",27301,221,86
0003 027 012417,0003,027,1825 W NORTH AVE,01/24/2017,Sandtown-Winchester,Western,7,"(39.30961131, -76.64721784)",27301,221,25
2712 013 110714,2712,013,4000 CHATHAM ROAD,11/07/2014,Dorchester,Northwestern,6,"(39.33070134, -76.68494183)",13995,38,64
7202 022 110714,7202,022,4607 PENNINGTON AVE,11/07/2014,Curtis Bay,Southern,10,"(39.22429339, -76.5881082)",27939,61,37
6276 002 092415,6276,002,3323 E BALTIMORE ST,09/24/2015,Patterson Park Neighborhood,Southeastern,1,"(39.29227677, -76.56962604)",27935,9,129
1121 003 120218,1121,003,1504 HOLBROOK ST,12/02/2018,Oliver,Eastern,12,"(39.30730232, -76.60337853)",13645,180,193
1167 037 020318,1167,037,1105 BRENTWOOD AVE,02/03/2018,Johnston Square,Eastern,12,"(39.30298461, -76.60931944)",13645,124,104
1553 008 111610,1553,008,2214 E CHASE ST,11/16/2010,Middle East,Eastern,13,"(39.30373452, -76.58647947)",26956,152,153
1154 022 062917,1154,022,602 E BIDDLE ST,06/29/2017,Johnston Square,Eastern,12,"(39.30390455, -76.60906384)",13645,124,104
4602 054 030206,4602,054,3706 MANCHESTER AVE,03/02/2006,Central Park Heights,Northwestern,6,"(39.34308411, -76.67648862)",27295,43,239
2386 001C 100713,2386,001C,2812 W LAFAYETTE AVE,10/07/2013,Mosher,Western,9,"(39.29828049, -76.66318113)",27297,163,48
3234 015A 120815,3234,015A,2303 BRYANT AVE,12/08/2015,Parkview/Woodbrook,Western,7,"(39.31677267, -76.64836639)",27301,190,21
3808 030 010517,3808,030,104 E 20TH ST,01/05/2017,Barclay,Northern,12,"(39.3125068, -76.6142847)",27307,10,160
0163 005 052419,0163,005,1808 W LEXINGTON ST,05/24/2019,Franklin Square,Western,9,"(39.2908141, -76.64606248)",27632,84,80
1643 079 012110,1643,079,636 N BELNORD AVE,01/21/2010,McElderry Park,Southeastern,13,"(39.29861327, -76.57893494)",13987,141,125
0242 106 010808,0242,106,1920 LEMMON ST,01/08/2008,Carrollton Ridge,Southern,9,"(39.28574306, -76.64760559)",27632,36,79
4028A015 120408,4028A,015,2112 HARFORD ROAD,12/04/2008,East Baltimore Midway,Eastern,12,"(39.31455975, -76.59798267)",27307,73,156
2100 023 032819,2100,023,2645 WILKENS AVE,03/28/2019,Millhill,Southwestern,9,"(39.27832546, -76.65701309)",27632,154,281
1125 042 062917,1125,042,1419 E FEDERAL ST,06/29/2017,Oliver,Eastern,12,"(39.30818294, -76.59914984)",26956,180,193
0103 026 042012,0103,026,1104 HARLEM AVE,04/20/2012,Harlem Park,Western,9,"(39.29695472, -76.63622491)",27301,106,53
0119 017 072909,0119,017,1911 EDMONDSON AVE,07/29/2009,Midtown-Edmondson,Western,9,"(39.29490605, -76.647696)",27632,153,87
6152 043 031111,6152,043,615 N EAST AVE,03/11/2011,Ellwood Park/Monument,Southeastern,13,"(39.29877977, -76.57200316)",13987,78,128
1132 047 010612,1132,047,1407 HOLBROOK ST,01/06/2012,Oliver,Eastern,12,"(39.30653171, -76.60286497)",13645,180,193
1155 080 112318,1155,080,721 MURA ST,11/23/2018,Johnston Square,Eastern,12,"(39.30419227, -76.60718811)",13645,124,104
0084 080 030606,0084,080,822 MCKEAN AVE,03/06/2006,Harlem Park,Western,9,"(39.29835715, -76.64694394)",27301,106,88
2393 025 102118,2393,025,2746 RIGGS AVE,10/21/2018,Winchester,Southwestern,9,"(39.30059028, -76.66308811)",27297,247,48
0219 028 060118,0219,028,13 S SCHROEDER ST,06/01/2018,Hollins Market,Southern,9,"(39.28831202, -76.63355886)",27632,114,7
1538 025C 091316,1538,025C,2520 E BIDDLE ST,09/13/2016,Berea,Eastern,13,"(39.3049633, -76.58196201)",26956,15,153
4580 035 012413,4580,035,3306 SPAULDING AVE,01/24/2013,Central Park Heights,Northwestern,6,"(39.34726788, -76.67686834)",27295,43,240
2394 045 061416,2394,045,1006 N DUKELAND ST,06/14/2016,Mosher,Western,9,"(39.29987235, -76.66375779)",27297,163,48
2201 032 082809,2201,032,2316 LAURETTA AVE,08/28/2009,Rosemont Homeowners/Tenants,Western,9,"(39.29429249, -76.65374229)",27632,218,84
0200 121 070912,0200,121,1100 W FAIRMOUNT AVE,07/09/2012,Poppleton,Western,9,"(39.2892889, -76.63639674)",27632,201,7
3855 017 091018,3855,017,2958 GREENMOUNT AVE,09/10/2018,Abell,Northern,12,"(39.32466261, -76.60967826)",27307,1,33
6158A018 052817,6158A,018,3327 MCELDERRY ST,05/28/2017,Ellwood Park/Monument,Southeastern,13,"(39.29800463, -76.57047009)",13987,78,128
1448 017 080811,1448,017,1932 E LAFAYETTE AVE,08/08/2011,Broadway East,Eastern,12,"(39.31101663, -76.59065483)",26956,23,155
3960 030 122017,3960,030,1727 E 32ND ST,12/20/2017,Coldstream Homestead Montebello,Notheastern,14,"(39.32658954, -76.59095948)",27307,54,190
0300C037 032818,0300C,037,1562 N CAREY ST,03/28/2018,Sandtown-Winchester,Western,7,"(39.30738955, -76.64129026)",27301,221,22
2754 019B 032318,2754,019B,3105 CHELSEA TERR,03/23/2018,Concerned Citizens Of Forest Park,Northwestern,6,"(39.32337813, -76.68276896)",27297,55,50
0359 014 112107,0359,014,1528 ARGYLE AVE,11/21/2007,Upton,Central,11,"(39.30174488, -76.6345341)",27301,242,101
5898H003J 112116,5898H,003J,4408 BELAIR ROAD,11/21/2016,Arcadia,Notheastern,3,"(39.3293184, -76.56442944)",13991,3,206
0117 017 041307,0117,017,532 N PULASKI ST,04/13/2007,Midtown-Edmondson,Western,9,"(39.2944098, -76.65066776)",27632,153,84
2131B024N 080416,2131B,024N,527 S LONGWOOD ST,08/04/2016,Gwynns Falls,Southwestern,10,"(39.27837327, -76.66624968)",27632,100,282
7089 013 051019,7089,013,3731 S HANOVER ST,05/10/2019,Brooklyn,Southern,10,"(39.23659195, -76.61019301)",27937,26,144
0112 061 102711,0112,061,1312 EDMONDSON AVE,10/27/2011,Harlem Park,Western,9,"(39.29563392, -76.63929624)",27301,106,53
0360 020 121609,0360,020,1551 ARGYLE AVE,12/16/2009,Upton,Central,11,"(39.3023743, -76.6346078)",27301,242,101
2174A039 033110,2174A,039,116 WILLARD ST,03/31/2010,Shipley Hill,Southwestern,9,"(39.28533431, -76.65532661)",27632,225,78
4616 098Q 122318,4616,098Q,4822 PIMLICO ROAD,12/23/2018,Central Park Heights,Northwestern,6,"(39.34747845, -76.66925025)",27295,43,242
2275D005 122318,2275D,005,3508 W CATON AVE,12/23/2018,Saint Josephs,Southwestern,8,"(39.28754097, -76.6750138)",27950,167,74
0071 088 050815,0071,088,916 APPLETON ST,05/08/2015,Midtown-Edmondson,Western,9,"(39.29935285, -76.64866457)",27301,153,85
