Country,"timestamp: Descending","src_port: Descending","dest_port: Descending",Count
"United States","Oct 31, 2020 @ 23:15:54.090",55002,53,4
"United States","Oct 31, 2020 @ 23:15:54.090",51231,53,3
"United States","Oct 31, 2020 @ 23:15:54.090",19638,80,1
"United States","Nov 1, 2020 @ 11:29:23.539",58917,53,2
"United States","Nov 1, 2020 @ 11:29:23.539",61042,53,2
"United States","Nov 1, 2020 @ 11:29:23.539",57112,53,1
"United States","Nov 1, 2020 @ 11:29:23.539",58984,53,1
"United States","Nov 1, 2020 @ 11:29:23.539",64191,53,1
"United States","Oct 31, 2020 @ 16:59:57.274",58181,53,2
"United States","Oct 31, 2020 @ 16:59:57.274",62661,53,2
"United States","Oct 31, 2020 @ 16:59:57.274",80,18935,1
"United States","Oct 31, 2020 @ 16:59:57.274",18934,80,1
"United States","Nov 1, 2020 @ 00:37:34.796",3065,80,6
Vietnam,"Oct 31, 2020 @ 15:19:29.003",52301,2121,4
Vietnam,"Oct 31, 2020 @ 15:28:05.001",54971,23,3
Vietnam,"Oct 31, 2020 @ 15:41:04.681",54150,21,3
Vietnam,"Oct 31, 2020 @ 15:41:42.931",56037,21,3
Vietnam,"Oct 31, 2020 @ 21:44:49.007",57411,23,3
China,"Oct 31, 2020 @ 18:20:35.080",9801,5501,5
China,"Oct 31, 2020 @ 14:53:22.743",9868,1433,1
China,"Oct 31, 2020 @ 14:53:22.743",20251,1433,1
China,"Oct 31, 2020 @ 14:53:22.743",22631,1433,1
China,"Oct 31, 2020 @ 14:53:22.743",26381,1433,1
China,"Oct 31, 2020 @ 17:47:46.357",44160,23,4
China,"Nov 1, 2020 @ 13:03:47.002",58291,5555,4
China,"Oct 31, 2020 @ 14:17:13.136",1746,1433,1
China,"Oct 31, 2020 @ 14:17:13.136",1751,1433,1
China,"Oct 31, 2020 @ 14:17:13.136",1798,1433,1
India,"Nov 1, 2020 @ 18:07:08.000",40375,23,3
India,"Oct 31, 2020 @ 21:28:54.675",49601,1433,2
India,"Nov 1, 2020 @ 14:14:03.169",58520,22,2
India,"Nov 1, 2020 @ 18:34:43.276",53617,5432,2
India,"Oct 31, 2020 @ 14:03:12.715",53219,25459,1
Russia,"Oct 31, 2020 @ 15:02:01.606",65530,3423,1
Russia,"Oct 31, 2020 @ 15:02:01.606",65530,3424,1
Russia,"Oct 31, 2020 @ 15:02:01.606",65530,3426,1
Russia,"Oct 31, 2020 @ 15:02:01.606",65530,3427,1
Russia,"Oct 31, 2020 @ 15:02:01.606",65530,3430,1
Russia,"Oct 31, 2020 @ 15:02:01.623",65530,3421,1
Russia,"Oct 31, 2020 @ 15:02:01.623",65530,3422,1
Russia,"Oct 31, 2020 @ 15:02:01.623",65530,3425,1
Russia,"Oct 31, 2020 @ 15:02:01.623",65530,3428,1
Russia,"Oct 31, 2020 @ 15:02:01.623",65530,3429,1
Russia,"Oct 31, 2020 @ 22:23:05.113",54726,5500,5
Russia,"Nov 1, 2020 @ 04:53:23.666",45044,5501,4
Russia,"Nov 1, 2020 @ 08:59:36.537",49904,3389,4
Canada,"Oct 31, 2020 @ 19:33:08.532",5061,5060,4
Canada,"Oct 31, 2020 @ 23:09:16.182",40685,22,2
Canada,"Oct 31, 2020 @ 23:14:18.026",36899,22,2
Canada,"Nov 1, 2020 @ 04:27:38.071",56843,3415,2
Canada,"Oct 31, 2020 @ 18:02:25.592",45115,30120,1
Philippines,"Oct 31, 2020 @ 20:25:47.521",59540,3389,2
Philippines,"Nov 1, 2020 @ 01:11:12.501",30901,5900,1
Philippines,"Nov 1, 2020 @ 01:11:12.501",52102,5900,1
Philippines,"Nov 1, 2020 @ 01:13:12.787",35005,5900,1
Philippines,"Nov 1, 2020 @ 01:13:12.787",56008,5900,1
Philippines,"Oct 31, 2020 @ 18:36:06.311",41543,4326,1
Philippines,"Oct 31, 2020 @ 20:25:47.235",59540,3389,1
Colombia,"Oct 31, 2020 @ 16:21:05.000",37097,23,3
Colombia,"Oct 31, 2020 @ 16:08:54.252",13159,23,1
Colombia,"Oct 31, 2020 @ 16:08:54.252",13180,23,1
Colombia,"Oct 31, 2020 @ 16:09:13.001",10614,23,2
Colombia,"Oct 31, 2020 @ 16:09:43.004",6762,23,2
Colombia,"Oct 31, 2020 @ 16:10:14.000",15432,23,2
Brazil,"Oct 31, 2020 @ 15:49:09.000",44979,23,3
Brazil,"Oct 31, 2020 @ 15:50:06.000",45657,23,3
Brazil,"Oct 31, 2020 @ 15:51:31.000",46696,23,3
Brazil,"Oct 31, 2020 @ 15:52:30.000",47348,23,3
Brazil,"Oct 31, 2020 @ 15:53:00.000",47713,23,3
Taiwan,"Nov 1, 2020 @ 08:58:09.000",44097,23,3
Taiwan,"Nov 1, 2020 @ 08:58:09.000",60973,23,3
Taiwan,"Oct 31, 2020 @ 15:15:26.000",40757,23,3
Taiwan,"Oct 31, 2020 @ 15:15:57.000",41203,23,3
Taiwan,"Oct 31, 2020 @ 23:06:24.719",33768,23,3
Taiwan,"Oct 31, 2020 @ 23:06:49.001",36663,23,3
