Country,Time,NumberOfAttacks
United States,1.60425E+12,72
United States,1.60423E+12,21
United States,1.60417E+12,20
United States,1.60419E+12,20
United States,1.60425E+12,20
Vietnam,1.60417E+12,16
Vietnam,1.60417E+12,12
Vietnam,1.60419E+12,12
Vietnam,1.60417E+12,11
Vietnam,1.60417E+12,11
China,1.6042E+12,540
China,1.60421E+12,468
China,1.60425E+12,434
China,1.60423E+12,405
China,1.60417E+12,252
Canada,1.6042E+12,7
Canada,1.60421E+12,7
Canada,1.6042E+12,6
Canada,1.6042E+12,6
Canada,1.6042E+12,6
India,1.60419E+12,337
India,1.60419E+12,184
India,1.6042E+12,11
India,1.60418E+12,10
India,1.60418E+12,10
