,country,src_port,dest_port,count
0,United States,80,18935,1
1,United States,3065,80,6
2,United States,18934,80,1
3,United States,19638,80,1
4,United States,51231,53,3
5,United States,55002,53,4
6,United States,57112,53,1
7,United States,58181,53,2
8,United States,58917,53,2
9,United States,58984,53,1
10,United States,61042,53,2
11,United States,62661,53,2
12,United States,64191,53,1
33,Russia,45044,5501,4
34,Russia,49904,3389,4
35,Russia,54726,5500,5
36,Russia,65530,3423,1
37,Russia,65530,3424,1
38,Russia,65530,3426,1
39,Russia,65530,3427,1
40,Russia,65530,3430,1
41,Russia,65530,3421,1
42,Russia,65530,3422,1
43,Russia,65530,3425,1
44,Russia,65530,3428,1
45,Russia,65530,3429,1
